ilce_adi;mahalle_adi;mahalle_koy_uavt;cok_agir_hasarli_bina_sayisi;agir_hasarli_bina_sayisi;orta_hasarli_bina_sayisi;hafif_hasarli_bina_sayisi;can_kaybi_sayisi;agir_yarali_sayisi;hastanede_tedavi_sayisi;hafif_yarali_sayisi;dogalgaz_boru_hasari;icme_suyu_boru_hasari;atik_su_boru_hasari;gecici_barinma
FAT›H;ﬁEHREM›N›;99133;68;109;327;571;76;44;195;338;1;1;2;2320
FAT›H;ﬁEHSUVAR BEY;40336;23;41;124;187;6;5;16;28;0;0;1;234
FAT›H;TOPKAPI;99135;61;94;242;338;46;31;120;206;1;1;1;1193
FAT›H;YAVUZ S›NAN;40339;9;17;48;59;2;1;5;8;0;0;0;46
FAT›H;YAVUZ SULTAN SEL›M;99144;54;104;308;531;39;30;107;191;0;0;1;1849
FAT›H;YED›KULE;99130;137;185;410;448;118;83;301;514;1;1;2;2588
FAT›H;ZEYREK;99142;44;79;238;422;34;24;91;161;0;1;1;1502
GAZ›OSMANPAﬁA;BA–LARBAﬁI;40454;8;24;142;423;10;6;29;60;0;0;1;918
GAZ›OSMANPAﬁA;BARBAROS HAYRETT›N PAﬁA;40459;9;25;185;655;12;6;35;76;1;1;1;1180
GAZ›OSMANPAﬁA;FEVZ› «AKMAK;40457;5;13;82;256;6;3;18;39;0;0;0;664
GAZ›OSMANPAﬁA;H‹RR›YET;40458;10;24;147;435;13;7;36;72;0;0;1;1004
GAZ›OSMANPAﬁA;KARADEN›Z;40464;9;25;192;759;15;7;44;99;1;1;1;1571
GAZ›OSMANPAﬁA;KARAYOLLARI;40463;5;21;144;492;5;3;19;48;0;0;1;939
GAZ›OSMANPAﬁA;KARLITEPE;40451;4;16;90;251;4;3;13;27;0;0;0;620
GAZ›OSMANPAﬁA;KAZIM KARABEK›R;40461;4;13;95;438;7;3;21;49;0;0;1;791
GAZ›OSMANPAﬁA;MERKEZ;40455;18;46;249;622;15;9;42;84;1;1;1;1234
GAZ›OSMANPAﬁA;MEVLANA;40462;1;2;24;135;1;0;4;13;0;0;0;268
GAZ›OSMANPAﬁA;PAZAR›«›;40450;8;26;136;333;6;4;17;36;0;0;0;466
GAZ›OSMANPAﬁA;SARIG÷L;40453;15;51;219;561;12;9;38;78;0;0;1;1114
GAZ›OSMANPAﬁA;ﬁEMS›PAﬁA;40456;4;11;87;307;6;4;18;38;0;0;0;580
GAZ›OSMANPAﬁA;YEN› MAHALLE;40460;11;34;180;515;14;8;39;81;0;1;1;1304
GAZ›OSMANPAﬁA;YEN›DO–AN;40452;7;29;127;308;5;4;16;35;0;0;0;348
GAZ›OSMANPAﬁA;YILDIZTABYA;40449;11;43;177;479;9;7;29;63;0;0;1;962
G‹NG÷REN;ABDURRAHMAN NAF›Z G‹RMAN;40504;22;40;122;207;67;37;174;299;0;1;2;2279
G‹NG÷REN;AKINCILAR;40497;21;35;150;307;54;29;139;248;0;0;1;1911
G‹NG÷REN;GEN«OSMAN;40498;27;57;260;521;66;35;175;323;1;1;3;3121
G‹NG÷REN;G‹NEﬁTEPE;40499;40;75;348;719;102;55;267;487;1;1;3;4645
G‹NG÷REN;G‹VEN;40500;24;39;144;282;63;33;161;282;0;1;1;1754
G‹NG÷REN;HAZNEDAR;40501;30;48;176;351;72;38;185;324;0;1;1;1997
G‹NG÷REN;MAREﬁAL «AKMAK;40502;32;54;234;487;81;43;210;376;1;1;2;2906
G‹NG÷REN;MEHMET NES›H ÷ZMEN;40506;34;64;214;341;41;26;109;190;1;1;3;1050
G‹NG÷REN;MERKEZ;40496;44;75;325;661;112;61;292;521;1;1;3;4534
G‹NG÷REN;SANAY›;40503;38;75;300;509;44;24;117;209;1;1;3;1389
G‹NG÷REN;TOZKOPARAN;40505;30;49;134;212;52;34;136;237;1;0;2;1892
KADIK÷Y;19.May;40528;3;8;42;204;5;2;18;38;0;1;1;482
KADIK÷Y;ACIBADEM;40509;9;20;113;367;12;6;38;73;1;0;1;953
KADIK÷Y;BOSTANCI;40523;8;20;96;345;11;4;35;67;1;1;1;814
KADIK÷Y;CADDEBOSTAN;40521;6;15;74;260;6;2;22;43;0;0;1;489
KADIK÷Y;CAFERA–A;40512;17;38;196;648;13;6;39;74;1;0;1;787
KADIK÷Y;DUMLUPINAR;40518;12;33;152;248;11;6;31;58;0;1;1;713
KADIK÷Y;E–›T›M;40516;18;49;221;396;15;9;40;75;0;0;1;832
KADIK÷Y;ERENK÷Y;40524;5;12;53;232;8;3;26;49;0;0;1;581
KADIK÷Y;FENERBAH«E;40514;5;15;81;256;4;1;15;30;0;0;1;446
KADIK÷Y;FENERYOLU;40515;4;10;49;198;6;2;21;40;0;0;0;517
KADIK÷Y;F›K›RTEPE;40517;17;43;207;316;10;6;29;55;0;1;1;714
KADIK÷Y;G÷ZTEPE;40520;6;14;66;292;7;3;28;54;1;1;1;627
KADIK÷Y;HASANPAﬁA;40510;18;40;182;405;16;10;46;87;0;0;1;800
KADIK÷Y;KOﬁUYOLU;40508;6;23;116;280;2;2;12;26;0;0;0;312
KADIK÷Y;KOZYATA–I;40529;3;8;39;208;5;2;20;40;0;0;1;483
KADIK÷Y;MERD›VENK÷Y;40519;17;42;191;434;17;9;49;96;1;1;1;1533
KADIK÷Y;OSMANA–A;40511;16;33;167;481;10;5;25;46;0;0;1;349
KADIK÷Y;RAS›MPAﬁA;40507;18;41;189;518;12;6;31;58;0;0;1;617
KADIK÷Y;SAHRAYICED›T;40525;4;9;46;204;6;3;24;46;0;0;1;597
KADIK÷Y;SUAD›YE;40522;5;12;68;265;5;2;19;37;1;0;1;454
KADIK÷Y;Z‹HT‹PAﬁA;40513;11;20;78;160;9;4;24;43;0;1;1;485
KA–ITHANE;«A–LAYAN;40535;6;19;137;462;5;3;19;43;0;0;1;717
KA–ITHANE;«EL›KTEPE;40536;4;11;95;393;4;1;13;30;0;0;0;480
KA–ITHANE;EMN›YET EVLER›;40537;1;2;17;83;1;0;3;7;0;0;0;106
KA–ITHANE;G‹LTEPE;40538;2;6;51;204;2;1;6;13;0;0;0;224
KA–ITHANE;G‹RSEL;40539;8;22;137;430;6;3;22;47;0;0;1;774
KA–ITHANE;HAM›D›YE;40541;3;12;63;252;3;2;16;37;1;1;1;835
KA–ITHANE;HARMANTEPE;40540;3;10;86;311;2;1;8;20;0;0;0;328
KA–ITHANE;H‹RR›YET;40542;4;14;87;313;4;2;11;25;0;0;0;394
KA–ITHANE;MEHMET AK›F ERSOY;40544;10;25;112;243;8;6;23;44;0;0;1;908
KA–ITHANE;MERKEZ;40543;11;31;162;459;9;6;29;61;1;1;1;722
KA–ITHANE;NURTEPE;40545;9;25;123;326;8;5;26;52;0;1;1;865
KA–ITHANE;ORTABAYIR;40546;3;8;67;276;3;1;10;22;0;0;0;342
KA–ITHANE;SEYRANTEPE;40548;3;10;71;286;1;0;8;22;0;0;1;410
KA–ITHANE;SULTAN SEL›M;40547;3;9;74;356;3;1;12;28;0;0;1;442
KA–ITHANE;ﬁ›R›NTEPE;40549;2;8;55;229;3;1;8;19;0;0;0;349
KA–ITHANE;TALATPAﬁA;40550;12;32;178;529;12;6;32;68;1;1;1;1049
KA–ITHANE;TELS›ZLER;40551;2;5;41;173;2;1;6;14;0;0;0;180
KA–ITHANE;YAHYA KEMAL;40552;6;21;125;304;7;4;19;39;0;0;1;607
KA–ITHANE;YEﬁ›LCE;40553;2;5;46;187;1;0;4;10;0;0;0;176
KARTAL;ATALAR;40554;8;19;131;438;12;5;33;68;1;1;1;985
KARTAL;CEV›ZL›;40555;8;22;151;435;9;5;27;57;0;0;1;914
KARTAL;CUMHUR›YET;40556;5;21;141;407;2;0;12;28;0;0;1;653
KARTAL;«AVUﬁO–LU;40558;12;33;170;373;7;3;20;40;0;0;1;678
KARTAL;ESENTEPE;40559;9;32;209;564;5;2;21;48;1;1;1;853
KARTAL;G‹M‹ﬁPINAR;40560;6;22;133;366;7;3;22;49;0;0;1;914
KARTAL;H‹RR›YET;40561;19;72;401;948;13;7;48;107;1;1;2;2088
KARTAL;KARLIKTEPE;40562;12;31;185;517;11;6;33;68;1;1;1;1217
KARTAL;KORDONBOYU;40563;10;24;105;254;10;5;29;55;0;0;2;560
KARTAL;ORHANTEPE;40564;22;62;309;618;18;8;57;114;1;1;3;1752
KARTAL;ORTA;40565;3;10;72;255;3;1;10;23;0;0;0;425
KARTAL;PETROL ›ﬁ;40566;7;17;109;377;11;5;31;63;1;1;1;905
KARTAL;SO–ANLIK YEN›;40567;6;21;133;397;6;2;20;45;0;0;1;839
KARTAL;TOPSELV›;40568;10;29;167;325;8;4;22;44;0;0;1;702
KARTAL;U–UR MUMCU;40569;4;9;42;194;16;8;47;91;0;0;1;965
KARTAL;YAKACIK «ARSI;40557;13;44;199;441;5;3;21;48;1;1;1;774
KARTAL;YAKACIK YEN›;40570;9;32;152;314;7;4;24;50;0;0;1;920
KARTAL;YALI;40571;13;31;148;279;11;7;29;56;0;0;1;775
KARTAL;YUKARI;40572;6;15;73;188;6;3;16;31;0;0;0;363
KARTAL;YUNUS;40573;17;47;252;483;9;6;31;63;0;1;1;907
K‹«‹K«EKMECE;ATAKENT;40582;8;25;118;356;24;10;82;170;2;2;3;3055
K‹«‹K«EKMECE;ATAT‹RK;40591;32;97;473;985;41;25;115;230;1;1;2;3108
K‹«‹K«EKMECE;BEﬁYOL;40603;7;17;55;88;5;3;14;27;0;0;1;193
K‹«‹K«EKMECE;CENNET;40607;88;134;325;415;126;85;330;567;1;1;3;3933
K‹«‹K«EKMECE;CUMHUR›YET;40601;109;209;626;803;148;89;392;696;2;2;5;6445
K‹«‹K«EKMECE;FAT›H;40606;54;74;168;184;54;34;140;238;1;1;2;1489
K‹«‹K«EKMECE;FEVZ› «AKMAK;40596;84;155;477;603;89;51;232;406;1;1;2;3312
K‹«‹K«EKMECE;G‹LTEPE;40589;52;116;391;591;68;39;182;332;1;1;3;3207
K‹«‹K«EKMECE;HALKALI MERKEZ;40590;57;163;709;1315;92;53;255;492;2;2;7;5838
K‹«‹K«EKMECE;›N÷N‹;40592;95;243;924;1399;143;83;385;711;2;2;6;7372
K‹«‹K«EKMECE;›STASYON;40605;46;116;452;751;46;29;129;246;1;1;3;3350
K‹«‹K«EKMECE;KANARYA;40604;116;235;802;1210;144;91;384;696;1;1;4;7297
K‹«‹K«EKMECE;KARTALTEPE;40588;62;112;313;374;52;34;137;239;1;1;3;1752
K‹«‹K«EKMECE;KEMALPAﬁA;40594;34;65;219;316;44;24;114;202;0;1;1;1655
K‹«‹K«EKMECE;MEHMET AK›F;40586;21;75;435;991;33;19;95;201;1;1;2;3390
K‹«‹K«EKMECE;S÷–‹TL‹ «EﬁME;40587;82;181;645;892;89;51;236;424;1;1;3;3896
K‹«‹K«EKMECE;SULTAN MURAT;40595;42;85;262;329;47;28;125;222;0;1;1;1891
K‹«‹K«EKMECE;TEVF›KBEY;40593;87;171;533;722;103;63;272;482;1;2;4;4404
K‹«‹K«EKMECE;YARIMBURGAZ;40599;11;45;204;362;3;2;20;45;0;1;1;750
K‹«‹K«EKMECE;YEN› MAHALLE;40600;67;118;327;437;71;49;190;336;1;1;3;2297
K‹«‹K«EKMECE;YEﬁ›LOVA;40602;86;180;520;676;93;63;250;451;1;1;4;4140
MALTEPE;ALTAY«EﬁME;40612;6;15;90;294;9;4;27;57;0;1;1;877
MALTEPE;ALTINTEPE;40613;10;22;126;403;18;9;47;93;1;0;1;1077
MALTEPE;AYDINEVLER;40617;4;16;86;265;2;1;12;31;0;0;1;573
MALTEPE;BA–LARBAﬁI;40615;26;59;309;720;35;19;95;181;1;1;2;2227
MALTEPE;BAﬁIB‹Y‹K;40625;19;68;286;618;10;8;37;80;1;1;1;1184
MALTEPE;B‹Y‹KBAKKALK÷Y;40624;3;15;86;189;0;0;1;5;0;0;1;80
MALTEPE;CEV›ZL›;40614;27;69;343;710;30;15;85;162;1;1;2;2224
MALTEPE;«INAR;40608;4;10;67;218;6;3;19;41;0;0;1;602
MALTEPE;ESENKENT;40620;22;70;290;581;18;12;55;108;0;1;2;1406
MALTEPE;FEYZULLAH;40610;14;30;140;313;20;10;53;98;1;1;1;1170
MALTEPE;FINDIKLI;40619;4;14;130;561;4;2;22;57;0;0;1;1156
MALTEPE;G›RNE;40618;2;9;53;176;2;0;10;25;0;0;0;433
MALTEPE;G‹LENSU;40622;28;99;400;753;14;12;44;90;0;1;1;976
MALTEPE;G‹LSUYU;40621;20;67;316;595;12;9;37;76;1;1;1;947
MALTEPE;›DEALTEPE;40609;4;12;84;270;7;3;22;47;0;0;1;702
MALTEPE;K‹«‹KYALI MERKEZ;40611;6;15;100;315;9;4;27;57;0;0;1;816
MALTEPE;YALI;40616;25;57;212;320;20;11;55;102;1;1;2;1208
MALTEPE;Z‹MR‹TEVLER;40623;13;43;270;855;18;8;58;128;1;1;2;2444
PEND›K;AHMET YESEV›;40632;7;38;233;524;6;2;24;59;1;1;2;1282
PEND›K;BAH«EL›EVLER;40628;7;23;130;306;6;3;19;38;0;0;1;609
PEND›K;BATI;40633;8;23;122;309;8;4;25;50;0;0;1;737
PEND›K;«AM«EﬁME;40649;7;23;161;487;8;4;26;57;0;0;1;1046
PEND›K;«AMLIK;40656;3;19;114;243;1;0;5;21;0;1;1;616
PEND›K;«INARDERE;40644;11;38;188;386;8;6;27;56;0;0;1;958
PEND›K;DO–U;40627;9;26;130;321;10;5;30;59;1;1;1;813
PEND›K;DUMLUPINAR;40626;17;58;286;611;11;8;38;82;1;1;1;1398
PEND›K;ERTU–RUL GAZ›;40635;29;107;405;796;7;9;40;85;0;1;1;720
PEND›K;ESENLER;40638;3;15;111;366;2;1;12;31;0;0;1;782
PEND›K;ESENYALI;40643;5;14;65;277;7;3;19;37;0;0;1;357
PEND›K;FAT›H;40647;6;25;163;415;6;3;19;43;0;0;1;905
PEND›K;FEVZ› «AKMAK;40629;7;26;179;537;7;2;26;60;1;1;1;1133
PEND›K;G‹LL‹ BA–LAR;40640;4;21;131;316;1;0;11;26;0;0;1;552
PEND›K;G‹ZELYALI;40634;8;27;133;513;10;3;31;62;1;1;2;988
PEND›K;HARMANDERE;40636;5;16;60;118;4;2;13;27;0;0;0;441
PEND›K;KAVAKPINAR;40646;21;93;557;1271;19;8;65;145;1;1;3;2841
PEND›K;KAYNARCA;40631;12;37;235;734;14;6;46;99;1;1;2;1681
PEND›K;ORHANGAZ›;40650;8;33;217;557;9;4;26;59;1;0;1;1239
PEND›K;ORTA;40645;8;24;107;196;5;4;16;32;0;0;0;415
PEND›K;RAMAZANO–LU;40639;11;47;212;354;1;0;10;23;1;1;1;220
PEND›K;SANAY›;40651;6;28;133;219;3;2;9;19;1;0;1;215
PEND›K;SAPAN BA–LARI;40637;10;27;135;266;8;5;22;45;0;0;1;688
PEND›K;S‹L‹NTEPE;40655;8;41;230;537;4;2;19;47;0;1;1;976
PEND›K;ﬁEYHL›;40630;7;27;144;313;4;2;17;38;1;1;1;832
PEND›K;VEL›BABA;40642;10;48;271;665;5;3;26;66;1;1;2;1391
PEND›K;YAYALAR;40641;5;21;112;256;1;0;10;24;0;0;1;496
PEND›K;YEN›;40652;16;44;208;365;14;8;38;74;0;1;1;1129
PEND›K;YEN›ﬁEH›R;40653;3;18;117;335;2;0;17;49;1;1;1;1526
PEND›K;YEﬁ›LBA–LAR;40648;6;17;88;162;4;2;13;26;0;0;1;385
SANCAKTEPE;ABDURRAHMANGAZ›;40579;5;29;183;515;3;1;13;35;1;1;2;931
SANCAKTEPE;AKPINAR;40575;14;57;268;534;11;7;36;78;1;1;2;1340
SANCAKTEPE;EMEK;40759;4;22;144;394;3;1;14;36;0;1;1;844
SANCAKTEPE;EY‹P SULTAN;40578;5;24;154;419;1;0;9;28;1;1;2;628
SANCAKTEPE;FAT›H;40576;7;35;213;538;4;1;21;54;1;1;2;1257
SANCAKTEPE;MECL›S;40762;1;6;64;286;1;0;4;15;0;1;1;393
SANCAKTEPE;MEVLANA;40773;2;14;93;265;1;1;6;18;0;0;1;434
SANCAKTEPE;OSMANGAZ›;40580;19;84;416;861;11;6;46;111;1;1;3;2173
SANCAKTEPE;SAFA;40771;2;13;88;256;1;0;7;21;0;0;0;517
SANCAKTEPE;SARIGAZ›;40763;4;17;114;322;3;1;12;30;0;0;1;704
SANCAKTEPE;VEYSEL KARAN›;40574;10;47;250;504;8;5;26;58;1;1;1;1215
SANCAKTEPE;YUNUS EMRE;40772;3;17;108;312;1;1;9;25;0;0;1;580
SARIYER;AYAZA–A;40686;5;23;152;448;2;1;13;33;1;1;1;714
SARIYER;B‹Y‹KDERE;40658;7;22;123;298;2;1;7;17;0;0;0;295
SARIYER;«AYIRBAﬁI;40661;12;27;98;166;5;3;15;28;0;0;0;286
SARIYER;›ST›NYE;40666;11;30;141;284;8;5;23;44;0;1;1;592
SARIYER;MADEN;40670;4;14;111;310;1;1;6;13;0;0;1;268
SARIYER;PINAR;40672;2;9;59;192;1;1;4;10;0;0;0;195
SARIYER;PTT EVLER›;40674;4;9;53;111;2;1;7;14;0;0;0;175
SARIYER;REﬁ›TPAﬁA;40675;4;18;125;384;1;1;6;18;1;0;1;307
SARIYER;SARIYER MERKEZ;40671;15;37;179;380;8;5;25;47;1;1;1;546
SARIYER;YEN›;40679;5;11;60;136;2;1;5;11;0;0;0;145
S›L›VR›;AL›BEY;40920;8;28;134;330;7;4;24;53;1;1;1;1015
S›L›VR›;CUMHUR›YET;40922;34;126;490;678;6;3;22;49;1;2;1;704
S›L›VR›;FAT›H;40918;9;28;104;215;6;4;17;36;0;0;0;454
S›L›VR›;FEVZ›PAﬁA;40933;7;29;128;242;1;1;5;12;1;1;2;188
S›L›VR›;G‹M‹ﬁYAKA;40935;45;186;781;1146;1;0;14;34;2;2;5;946
S›L›VR›;›SMETPAﬁA;40934;7;29;122;229;1;1;4;10;1;1;1;221
S›L›VR›;KADIK÷Y;40939;12;38;128;224;1;1;4;9;0;0;0;170
S›L›VR›;M›MAR S›NAN;40923;37;139;559;822;9;3;33;72;1;2;4;1349
S›L›VR›;ORTAK÷Y;40938;20;75;307;496;1;1;4;10;1;2;0;353
S›L›VR›;P›R› MEHMET PAﬁA;40919;11;30;124;278;6;4;19;40;0;1;1;584
S›L›VR›;SANCAKTEPE;40931;23;85;341;526;1;0;7;15;1;1;2;453
S›L›VR›;SEL›MPAﬁA;40940;31;165;814;1319;5;2;23;64;3;5;5;1515
S›L›VR›;SEM›ZKUMLAR;40926;52;216;926;1347;3;0;9;20;1;2;3;1093
S›L›VR›;YEN›;40921;17;64;274;518;10;3;46;104;1;2;3;1964
SULTANBEYL›;ABDURRAHMANGAZ›;40949;14;68;389;781;11;7;36;85;1;1;2;1763
SULTANBEYL›;AHMET YESEV›;40942;8;45;292;677;6;2;23;57;0;0;1;1305
SULTANBEYL›;AKﬁEMSETT›N;40956;4;29;182;377;2;1;11;30;0;0;1;631
SULTANBEYL›;BATTALGAZ›;40944;9;58;368;789;4;2;23;63;1;1;2;1470
SULTANBEYL›;FAT›H;40951;6;40;256;518;5;2;20;48;0;0;1;1112
SULTANBEYL›;HAM›D›YE;40952;12;67;379;702;10;6;36;83;1;1;2;1651
SULTANBEYL›;HASANPAﬁA;40948;6;36;217;461;4;3;17;42;0;0;1;955
SULTANBEYL›;MEC›D›YE;40945;7;42;260;568;4;3;17;46;0;1;2;1075
SULTANBEYL›;MEHMET AK›F;40950;12;60;362;743;10;5;34;78;1;1;2;1581
SULTANBEYL›;NEC›P FAZIL;40954;8;52;285;512;5;2;21;51;1;1;2;1082
SULTANBEYL›;ORHANGAZ›;40955;7;41;223;410;6;3;22;51;1;1;1;918
SULTANBEYL›;TURGUT RE›S;40947;3;23;168;417;1;0;10;29;0;0;1;742
SULTANBEYL›;YAVUZ SEL›M;40953;8;49;294;569;5;2;20;50;0;1;1;1146
SULTANGAZ›;50. YIL;40471;10;32;278;1045;14;7;45;105;1;1;2;1779
SULTANGAZ›;75. YIL;40467;2;5;47;262;2;0;8;22;0;0;1;387
SULTANGAZ›;CEBEC›;40474;7;30;256;923;5;2;21;56;1;1;1;1347
SULTANGAZ›;CUMHUR›YET;40465;1;2;25;134;1;0;4;10;0;0;0;189
SULTANGAZ›;ESENTEPE;40470;4;19;160;686;3;1;17;48;0;1;1;1114
SULTANGAZ›;GAZ›;40469;6;24;121;404;6;4;20;46;0;0;1;793
SULTANGAZ›;›SMETPAﬁA;40475;4;13;138;611;5;2;17;45;0;0;1;980
SULTANGAZ›;SULTAN«›FTL›–›;40472;3;10;104;454;4;1;14;35;0;0;1;641
SULTANGAZ›;U–UR MUMCU;40473;8;25;206;713;11;5;33;76;1;1;1;1207
SULTANGAZ›;YUNUS EMRE;40466;2;9;74;360;3;2;14;37;0;0;1;667
SULTANGAZ›;Z‹BEYDE HANIM;40468;8;38;164;552;3;3;21;52;0;0;1;793
ﬁ›ﬁL›;19.May;40685;2;5;24;131;2;1;7;14;0;0;0;145
ﬁ›ﬁL›;BOZKURT;40687;3;7;37;187;2;1;6;13;0;0;0;174
ﬁ›ﬁL›;CUMHUR›YET;40688;2;4;21;122;2;1;5;10;0;0;0;96
ﬁ›ﬁL›;ESK›ﬁEH›R;40692;4;14;69;248;3;2;8;17;0;0;0;286
ﬁ›ﬁL›;FER›K÷Y;40693;3;7;37;182;3;2;8;17;0;0;0;229
ﬁ›ﬁL›;FULYA;40694;2;5;26;166;3;1;10;20;0;1;1;192
ﬁ›ﬁL›;G‹LBAHAR;40695;2;7;37;176;3;1;9;19;0;0;0;313
ﬁ›ﬁL›;HAL›DE ED›P ADIVAR;40696;2;6;33;154;2;0;6;15;0;0;0;266
ﬁ›ﬁL›;›ZZET PAﬁA;40712;2;6;30;118;2;1;5;10;0;0;0;158
ﬁ›ﬁL›;KUﬁTEPE;40702;5;22;104;343;4;3;13;29;0;0;0;397
ﬁ›ﬁL›;MAHMUT ﬁEVKET PAﬁA;40703;4;13;64;255;5;3;15;31;0;0;1;440
ﬁ›ﬁL›;MEC›D›YEK÷Y;40705;3;8;42;206;4;1;11;24;0;0;0;286
ﬁ›ﬁL›;MERKEZ;40706;4;10;54;284;3;1;10;21;1;1;1;194
ﬁ›ﬁL›;MEﬁRUT›YET;40707;7;13;58;263;4;2;10;18;0;0;0;188
ﬁ›ﬁL›;PAﬁA;40708;5;21;93;325;4;2;12;27;0;0;1;410
ﬁ›ﬁL›;TEﬁV›K›YE;40709;3;6;30;180;2;1;7;15;0;0;0;155
ﬁ›ﬁL›;YAYLA;40710;4;14;65;212;3;2;9;20;0;0;0;308
TUZLA;AYDINLI;40720;41;176;821;1481;22;12;87;188;2;3;9;3467
TUZLA;AYDINTEPE;40717;11;38;191;458;12;6;34;72;1;1;2;1119
TUZLA;CAM›;40724;26;73;250;278;11;6;33;61;1;1;2;729
TUZLA;EVL›YA «ELEB›;40718;19;65;255;395;9;4;27;56;1;1;3;931
TUZLA;›«MELER;40716;14;43;193;344;8;5;27;54;0;0;1;725
TUZLA;›STASYON;40723;46;98;312;450;29;19;80;149;1;2;5;1930
TUZLA;MESC›T;40732;5;27;123;197;1;1;7;17;1;1;2;371
TUZLA;M›MAR S›NAN;40721;77;199;586;717;57;43;159;293;1;2;5;3143
TUZLA;POSTANE;40719;56;183;737;1001;17;10;65;130;2;2;6;1878
TUZLA;ﬁ›FA;40722;103;238;673;733;81;50;218;392;2;2;6;4163
TUZLA;YAYLA;40715;23;65;292;553;19;12;59;121;1;1;2;1815
‹MRAN›YE;ADEM YAVUZ;98684;5;24;137;356;2;1;12;28;0;0;1;599
‹MRAN›YE;ALTINﬁEH›R;98685;3;15;126;418;3;1;12;31;1;1;1;694
‹MRAN›YE;AﬁA–I DUDULLU;40742;5;26;151;337;2;1;11;26;0;0;1;497
‹MRAN›YE;ATAT‹RK;40735;2;7;68;276;2;1;9;23;0;0;0;423
‹MRAN›YE;CEM›L MER›«;98688;14;56;284;644;7;7;24;57;1;1;1;1014
‹MRAN›YE;ESENﬁEH›R;40747;5;24;163;414;4;1;13;31;1;1;1;692
‹MRAN›YE;IHLAMURKUYU;40745;6;26;147;373;3;2;13;31;0;1;1;635
‹MRAN›YE;KAZIM KARABEK›R;40743;5;25;179;459;2;0;9;25;0;0;1;580
‹MRAN›YE;NEC›P FAZIL;98699;9;43;238;532;8;2;24;55;1;1;1;1235
‹MRAN›YE;S›TE;98702;4;17;101;297;2;1;9;26;0;1;1;656
‹SK‹DAR;ACIBADEM;40778;2;6;38;185;2;1;13;28;0;0;1;385
‹SK‹DAR;AHMED›YE;98664;3;7;46;164;3;1;9;18;0;0;0;312
‹SK‹DAR;AZ›Z MAHMUT H‹DAY›;98665;7;16;93;240;4;2;13;25;0;0;0;171
‹SK‹DAR;BAH«EL›EVLER;40785;6;29;154;419;2;1;11;30;0;0;1;395
‹SK‹DAR;BARBAROS;40786;2;7;44;152;2;1;8;19;0;0;0;478
‹SK‹DAR;CUMHUR›YET;40790;3;8;84;386;2;1;11;28;0;1;1;693
‹SK‹DAR;«ENGELK÷Y;98666;7;24;171;402;2;1;11;27;1;0;1;320
‹SK‹DAR;FERAH;40794;6;23;149;358;5;3;19;42;1;0;1;332
‹SK‹DAR;›CAD›YE;40802;6;17;106;341;5;1;15;31;0;0;0;782
‹SK‹DAR;KISIKLI;40809;4;17;128;373;2;1;10;27;1;1;1;471
‹SK‹DAR;K›RAZLITEPE;40808;6;24;158;351;3;2;14;31;0;0;0;120
‹SK‹DAR;K‹PL‹CE;40813;5;17;142;357;2;1;11;26;0;0;1;228
‹SK‹DAR;MEHMET AK›F ERSOY;40814;5;22;168;416;3;1;13;32;0;0;1;308
‹SK‹DAR;M›MAR S›NAN;98668;12;27;131;342;11;6;29;58;0;0;1;722
‹SK‹DAR;MURATRE›S;40815;4;11;67;259;6;3;16;32;0;0;0;420
‹SK‹DAR;SALACAK;40804;4;8;56;199;3;2;9;20;0;0;0;908
‹SK‹DAR;SELAM› AL›;40819;3;9;53;203;4;2;12;25;0;0;0;295
‹SK‹DAR;SEL›M›YE;40820;6;16;76;208;3;1;8;16;0;1;0;326
‹SK‹DAR;SULTANTEPE;98669;7;15;78;222;6;3;18;35;0;0;0;888
‹SK‹DAR;‹NALAN;40827;8;24;173;507;7;3;23;51;1;1;1;915
‹SK‹DAR;VAL›DE-› AT›K;40828;5;13;82;316;7;3;19;39;0;0;0;942
‹SK‹DAR;YAVUZT‹RK;40830;5;27;220;612;2;1;15;42;1;1;1;387
‹SK‹DAR;ZEYNEP KAM›L;98670;2;5;35;173;3;1;10;20;0;0;0;241
ZEYT›NBURNU;BEﬁTELS›Z;40838;43;89;354;622;56;31;147;268;0;1;2;2291
ZEYT›NBURNU;«IRPICI;40837;49;98;357;572;77;43;202;360;1;1;2;2760
ZEYT›NBURNU;G÷KALP;40834;31;62;253;456;45;24;118;215;0;1;2;1111
ZEYT›NBURNU;KAZLI«EﬁME;40840;25;44;126;182;13;8;36;68;0;1;3;346
ZEYT›NBURNU;MALTEPE;40843;62;125;378;513;15;8;44;81;1;1;4;181
ZEYT›NBURNU;MERKEZEFEND›;40842;29;60;216;369;39;24;105;193;1;1;2;2617
ZEYT›NBURNU;NUR›PAﬁA;40832;39;77;308;529;66;37;173;314;1;1;2;3220
ZEYT›NBURNU;SEY›TN›ZAM;40841;37;92;363;592;51;28;134;246;1;1;3;2363
ZEYT›NBURNU;S‹MER;40831;41;80;319;561;87;47;229;414;1;1;3;5682
ZEYT›NBURNU;TELS›Z;40839;72;133;470;801;84;48;223;400;1;1;3;1094
ZEYT›NBURNU;VEL›EFEND›;40836;39;80;309;530;66;38;175;317;1;1;2;3400
ZEYT›NBURNU;YEN›DO–AN;40833;17;33;135;234;24;13;63;114;0;0;1;1715
